method,round,labels,avg_acc,acc_tuple,top_k
passive_ordered,61,805,0.7308690012970169,"[0.7295719844357976, 0.7392996108949417, 0.7237354085603113]",2
passive_ordered,62,815,0.7444876783398184,"[0.7315175097276264, 0.754863813229572, 0.7470817120622568]",2
passive_ordered,63,825,0.7431906614785992,"[0.7373540856031129, 0.7431906614785992, 0.7490272373540856]",2
passive_ordered,64,835,0.7503242542153048,"[0.7490272373540856, 0.7509727626459144, 0.7509727626459144]",2
passive_ordered,65,845,0.7392996108949417,"[0.7529182879377432, 0.7217898832684825, 0.7431906614785992]",2
passive_ordered,66,855,0.7561608300907912,"[0.7568093385214008, 0.7529182879377432, 0.7587548638132295]",2
passive_ordered,67,865,0.7594033722438391,"[0.7607003891050583, 0.7509727626459144, 0.7665369649805448]",2
passive_ordered,68,875,0.7632944228274967,"[0.7587548638132295, 0.7626459143968871, 0.7684824902723736]",2
passive_ordered,69,885,0.7749675745784695,"[0.7762645914396887, 0.7782101167315175, 0.7704280155642024]",2
passive_ordered,70,895,0.7782101167315175,"[0.7801556420233463, 0.7723735408560312, 0.7821011673151751]",2
passive_ordered,71,905,0.772373540856031,"[0.7801556420233463, 0.7801556420233463, 0.7568093385214008]",2
passive_ordered,72,915,0.7821011673151751,"[0.7821011673151751, 0.7898832684824902, 0.77431906614786]",2
passive_ordered,73,925,0.7762645914396886,"[0.7937743190661478, 0.77431906614786, 0.7607003891050583]",2
passive_ordered,74,935,0.7749675745784695,"[0.7782101167315175, 0.7704280155642024, 0.7762645914396887]",2
passive_ordered,75,945,0.7782101167315175,"[0.7859922178988327, 0.7684824902723736, 0.7801556420233463]",2
passive_ordered,76,955,0.7853437094682231,"[0.7898832684824902, 0.7762645914396887, 0.7898832684824902]",2
passive_ordered,77,965,0.7846952010376135,"[0.7937743190661478, 0.7801556420233463, 0.7801556420233463]",2
passive_ordered,78,975,0.7814526588845655,"[0.7859922178988327, 0.77431906614786, 0.7840466926070039]",2
passive_ordered,79,985,0.7840466926070039,"[0.7821011673151751, 0.77431906614786, 0.7957198443579766]",2
passive_ordered,80,995,0.7892347600518806,"[0.7898832684824902, 0.7898832684824902, 0.7879377431906615]",2
passive_ordered,81,1005,0.7859922178988327,"[0.7957198443579766, 0.7821011673151751, 0.7801556420233463]",2
passive_ordered,82,1015,0.7821011673151751,"[0.7840466926070039, 0.7859922178988327, 0.7762645914396887]",2
passive_ordered,83,1025,0.7859922178988327,"[0.7840466926070039, 0.7821011673151751, 0.791828793774319]",2
passive_ordered,84,1035,0.7821011673151751,"[0.7801556420233463, 0.7840466926070039, 0.7821011673151751]",2
passive_ordered,85,1045,0.7859922178988327,"[0.7957198443579766, 0.7976653696498055, 0.7645914396887159]",2
passive_ordered,86,1055,0.7963683527885862,"[0.7976653696498055, 0.7996108949416343, 0.791828793774319]",2
passive_ordered,87,1065,0.7970168612191958,"[0.7937743190661478, 0.7898832684824902, 0.8073929961089494]",2
passive_ordered,88,1075,0.791828793774319,"[0.8054474708171206, 0.7996108949416343, 0.7704280155642024]",2
passive_ordered,89,1085,0.7853437094682231,"[0.7898832684824902, 0.791828793774319, 0.77431906614786]",2
passive_ordered,90,1095,0.8067444876783397,"[0.8132295719844358, 0.811284046692607, 0.7957198443579766]",2
passive_ordered,91,1105,0.8093385214007783,"[0.8073929961089494, 0.811284046692607, 0.8093385214007782]",2
passive_ordered,92,1115,0.7989623865110248,"[0.7879377431906615, 0.7976653696498055, 0.811284046692607]",2
passive_ordered,93,1125,0.7976653696498056,"[0.7996108949416343, 0.7957198443579766, 0.7976653696498055]",2
passive_ordered,94,1135,0.7983138780804152,"[0.791828793774319, 0.8015564202334631, 0.8015564202334631]",2
passive_ordered,95,1145,0.8060959792477304,"[0.811284046692607, 0.8054474708171206, 0.8015564202334631]",2
passive_ordered,96,1155,0.7963683527885864,"[0.7840466926070039, 0.8035019455252919, 0.8015564202334631]",2
passive_ordered,97,1165,0.8041504539559016,"[0.8015564202334631, 0.811284046692607, 0.7996108949416343]",2
passive_ordered,98,1175,0.8086900129701687,"[0.8093385214007782, 0.8132295719844358, 0.8035019455252919]",2
passive_ordered,99,1185,0.8041504539559016,"[0.8073929961089494, 0.7996108949416343, 0.8054474708171206]",2
passive_ordered,100,1195,0.7944228274967574,"[0.791828793774319, 0.791828793774319, 0.7996108949416343]",2
active_random,1,206,0.5512321660181582,"[0.5603112840466926, 0.5486381322957199, 0.5447470817120622]",2
active_random,2,216,0.566147859922179,"[0.5700389105058365, 0.5603112840466926, 0.5680933852140078]",2
active_random,3,226,0.5804150453955901,"[0.5758754863813229, 0.5875486381322957, 0.5778210116731517]",2
active_random,4,236,0.5817120622568094,"[0.585603112840467, 0.5797665369649806, 0.5797665369649806]",2
active_random,5,246,0.6044098573281452,"[0.6089494163424124, 0.6050583657587548, 0.5992217898832685]",2
active_random,6,256,0.6089494163424124,"[0.6089494163424124, 0.6070038910505836, 0.6108949416342413]",2
active_random,7,266,0.6108949416342413,"[0.6147859922178989, 0.6108949416342413, 0.6070038910505836]",2
active_random,8,276,0.6173800259403373,"[0.6264591439688716, 0.6089494163424124, 0.6167315175097277]",2
active_random,9,286,0.6465629053177692,"[0.6439688715953308, 0.6478599221789884, 0.6478599221789884]",2
active_random,10,296,0.6556420233463035,"[0.6498054474708171, 0.6575875486381323, 0.6595330739299611]",2
active_random,11,306,0.6543450064850843,"[0.6478599221789884, 0.6556420233463035, 0.6595330739299611]",2
active_random,12,316,0.6614785992217899,"[0.6653696498054474, 0.6575875486381323, 0.6614785992217899]",2
active_random,13,326,0.6601815823605707,"[0.6634241245136187, 0.6536964980544747, 0.6634241245136187]",2
active_random,14,336,0.6699092088197146,"[0.6712062256809338, 0.6653696498054474, 0.6731517509727627]",2
active_random,15,346,0.6796368352788585,"[0.6867704280155642, 0.6809338521400778, 0.6712062256809338]",2
active_random,16,356,0.6783398184176394,"[0.6809338521400778, 0.6750972762645915, 0.6789883268482491]",2
