method,round,labels,accuracy
passive_ordered,66,779,0.7003891050583657
passive_ordered,67,789,0.6848249027237354
passive_ordered,68,799,0.6964980544747081
passive_ordered,69,809,0.6770428015564203
passive_ordered,70,819,0.6770428015564203
passive_ordered,71,829,0.6926070038910506
passive_ordered,72,839,0.688715953307393
passive_ordered,73,849,0.6964980544747081
passive_ordered,74,859,0.6614785992217899
passive_ordered,75,869,0.6964980544747081
passive_ordered,76,879,0.7003891050583657
passive_ordered,77,889,0.6848249027237354
passive_ordered,78,899,0.7042801556420234
passive_ordered,79,909,0.6926070038910506
passive_ordered,80,919,0.6964980544747081
passive_ordered,81,929,0.6848249027237354
passive_ordered,82,939,0.7042801556420234
passive_ordered,83,949,0.6809338521400778
passive_ordered,84,959,0.6926070038910506
passive_ordered,85,969,0.7003891050583657
passive_ordered,86,979,0.6964980544747081
passive_ordered,87,989,0.6809338521400778
passive_ordered,88,999,0.669260700389105
passive_ordered,89,1009,0.6926070038910506
passive_ordered,90,1019,0.708171206225681
passive_ordered,91,1029,0.708171206225681
passive_ordered,92,1039,0.7042801556420234
passive_ordered,93,1049,0.7159533073929961
passive_ordered,94,1059,0.7042801556420234
passive_ordered,95,1069,0.7198443579766537
passive_ordered,96,1079,0.7120622568093385
passive_ordered,97,1089,0.7003891050583657
passive_ordered,98,1099,0.7198443579766537
passive_ordered,99,1109,0.7042801556420234
passive_ordered,100,1119,0.7159533073929961
active,1,129,0.4163424124513619
active,2,139,0.4383916990920882
active,3,149,0.44357976653696496
active,4,159,0.46692607003891046
active,5,169,0.45265888456549935
active,6,179,0.4617380025940337
active,7,189,0.47081712062256803
active,8,199,0.4889753566796369
active,9,209,0.4876783398184177
active,10,219,0.4798962386511025
active,11,229,0.5071335927367056
active,12,239,0.5045395590142672
active,13,249,0.5447470817120623
active,14,259,0.5317769130998702
active,15,269,0.5603112840466926
active,16,279,0.5745784695201037
active,17,289,0.5914396887159533
active,18,299,0.6005188067444877
active,19,309,0.5927367055771725
active,20,319,0.6057068741893644
active,21,329,0.6147859922178989
active,22,339,0.6199740596627756
active,23,349,0.6277561608300908
active,24,359,0.6407263294422828
active,25,369,0.6381322957198443
active,26,379,0.6511024643320363
active,27,389,0.6459143968871596
active,28,399,0.6666666666666666
active,29,409,0.6705577172503242
active,30,419,0.6796368352788585
active,31,429,0.669260700389105
active,32,439,0.6666666666666666
active,33,449,0.6640726329442282
active,34,459,0.6731517509727626
active,35,469,0.6809338521400777
active,36,479,0.6900129701686121
active,37,489,0.6809338521400777
active,38,499,0.675745784695201
active,39,509,0.6640726329442282
active,40,519,0.675745784695201
active,41,529,0.6705577172503242
active,42,539,0.6679636835278858
active,43,549,0.6874189364461737
active,44,559,0.6822308690012969
active,45,569,0.696498054474708
active,46,579,0.6861219195849545
active,47,589,0.6809338521400777
active,48,599,0.7068741893644618
active,49,609,0.6926070038910505
active,50,619,0.6990920881971466
active,51,629,0.708171206225681
active,52,639,0.7003891050583658
active,53,649,0.708171206225681
active,54,659,0.6952010376134891
active,55,669,0.696498054474708
active,56,679,0.7172503242542153
active,57,689,0.7042801556420232
active,58,699,0.7146562905317769
active,59,709,0.7146562905317769
active,60,719,0.7107652399481194
active,61,729,0.7198443579766537
active,62,739,0.7133592736705577
active,63,749,0.7263294422827498
active,64,759,0.7302204928664073
active,65,769,0.7380025940337225
active,66,779,0.7263294422827498
active,67,789,0.7263294422827496
active,68,799,0.7302204928664073
active,69,809,0.7457846952010376
active,70,819,0.74189364461738
active,71,829,0.7341115434500649
active,72,839,0.7639429312581063
active,73,849,0.7678339818417639
active,74,859,0.7587548638132295
active,75,869,0.7613488975356679
active,76,879,0.7522697795071336
active,77,889,0.754863813229572
active,78,899,0.7600518806744487
active,79,909,0.7652399481193255
active,80,919,0.7613488975356679
active,81,929,0.7639429312581063
active,82,939,0.7846952010376135
active,83,949,0.7821011673151751
active,84,959,0.7756160830090791
active,85,969,0.7743190661478598
active,86,979,0.7743190661478598
active,87,989,0.7872892347600519
active,88,999,0.7846952010376135
active,89,1009,0.7808041504539559
active,90,1019,0.795071335927367
active,91,1029,0.7808041504539559
active,92,1039,0.7833981841763943
active,93,1049,0.7808041504539559
active,94,1059,0.788586251621271
active,95,1069,0.7821011673151751
active,96,1079,0.7872892347600519
active,97,1089,0.7743190661478598
active,98,1099,0.7846952010376135
active,99,1109,0.788586251621271
active,100,1119,0.7859922178988327
