method,round,labels,pool_size,pct,avg_acc_top1,avg_acc_topk,acc_tuple_top1,acc_tuple_topk,top_k
passive_random,97,609,2055,29.635036496350367,0.6653696498054474,0.7821011673151751,"[0.6634241245136187, 0.6536964980544747, 0.6789883268482491]","[0.77431906614786, 0.7840466926070039, 0.7879377431906615]",3
passive_random,98,614,2055,29.878345498783457,0.6640726329442282,0.7762645914396887,"[0.6673151750972762, 0.6673151750972762, 0.6575875486381323]","[0.7684824902723736, 0.7840466926070039, 0.7762645914396887]",3
passive_random,99,619,2055,30.121654501216543,0.6712062256809338,0.7833981841763943,"[0.6653696498054474, 0.6750972762645915, 0.6731517509727627]","[0.7762645914396887, 0.7898832684824902, 0.7840466926070039]",3
passive_random,100,624,2055,30.364963503649633,0.6666666666666666,0.7814526588845655,"[0.6653696498054474, 0.6712062256809338, 0.6634241245136187]","[0.7782101167315175, 0.7898832684824902, 0.7762645914396887]",3
passive_random,101,629,2055,30.608272506082724,0.6744487678339818,0.7801556420233463,"[0.6712062256809338, 0.6848249027237354, 0.6673151750972762]","[0.77431906614786, 0.7840466926070039, 0.7821011673151751]",3
passive_random,102,634,2055,30.851581508515814,0.675745784695201,0.7782101167315175,"[0.6770428015564203, 0.6750972762645915, 0.6750972762645915]","[0.7723735408560312, 0.7859922178988327, 0.7762645914396887]",3
passive_random,103,639,2055,31.094890510948904,0.675745784695201,0.7808041504539559,"[0.6867704280155642, 0.6750972762645915, 0.6653696498054474]","[0.7782101167315175, 0.7840466926070039, 0.7801556420233463]",3
passive_random,104,644,2055,31.338199513381994,0.6731517509727626,0.7775616083009079,"[0.6770428015564203, 0.6673151750972762, 0.6750972762645915]","[0.7782101167315175, 0.7801556420233463, 0.77431906614786]",3
passive_random,105,649,2055,31.581508515815084,0.6783398184176394,0.7775616083009079,"[0.6770428015564203, 0.6906614785992218, 0.6673151750972762]","[0.7665369649805448, 0.791828793774319, 0.77431906614786]",3
passive_random,106,654,2055,31.824817518248175,0.6854734111543449,0.7827496757457847,"[0.6750972762645915, 0.6945525291828794, 0.6867704280155642]","[0.77431906614786, 0.791828793774319, 0.7821011673151751]",3
passive_random,107,659,2055,32.06812652068127,0.6822308690012969,0.7840466926070039,"[0.6731517509727627, 0.6926070038910506, 0.6809338521400778]","[0.7762645914396887, 0.791828793774319, 0.7840466926070039]",3
passive_random,108,664,2055,32.311435523114355,0.6796368352788585,0.7808041504539559,"[0.6770428015564203, 0.6789883268482491, 0.6828793774319066]","[0.7840466926070039, 0.7840466926070039, 0.77431906614786]",3
passive_random,109,669,2055,32.55474452554745,0.6822308690012969,0.7808041504539559,"[0.6712062256809338, 0.6848249027237354, 0.6906614785992218]","[0.7704280155642024, 0.7859922178988327, 0.7859922178988327]",3
passive_random,110,674,2055,32.798053527980535,0.6815823605706873,0.7808041504539559,"[0.6848249027237354, 0.6828793774319066, 0.6770428015564203]","[0.7782101167315175, 0.7859922178988327, 0.7782101167315175]",3
passive_random,111,679,2055,33.04136253041362,0.6783398184176394,0.7801556420233463,"[0.6848249027237354, 0.6848249027237354, 0.6653696498054474]","[0.7762645914396887, 0.7801556420233463, 0.7840466926070039]",3
passive_random,112,684,2055,33.284671532846716,0.6874189364461737,0.7840466926070039,"[0.6770428015564203, 0.6906614785992218, 0.6945525291828794]","[0.7821011673151751, 0.7840466926070039, 0.7859922178988327]",3
passive_random,113,689,2055,33.5279805352798,0.6913099870298313,0.7840466926070039,"[0.6964980544747081, 0.6926070038910506, 0.6848249027237354]","[0.7801556420233463, 0.7898832684824902, 0.7821011673151751]",3
passive_random,114,694,2055,33.771289537712896,0.6861219195849545,0.7821011673151751,"[0.6867704280155642, 0.6809338521400778, 0.6906614785992218]","[0.77431906614786, 0.7859922178988327, 0.7859922178988327]",3
passive_random,115,699,2055,34.01459854014598,0.6958495460440984,0.7853437094682231,"[0.6906614785992218, 0.6984435797665369, 0.6984435797665369]","[0.7782101167315175, 0.7957198443579766, 0.7821011673151751]",3
passive_random,116,704,2055,34.257907542579076,0.6848249027237353,0.7866407263294423,"[0.6770428015564203, 0.6848249027237354, 0.6926070038910506]","[0.7879377431906615, 0.7957198443579766, 0.7762645914396887]",3
passive_random,117,709,2055,34.50121654501216,0.6874189364461737,0.7898832684824902,"[0.688715953307393, 0.6906614785992218, 0.6828793774319066]","[0.7879377431906615, 0.7859922178988327, 0.7957198443579766]",3
passive_random,118,714,2055,34.74452554744526,0.6945525291828792,0.7970168612191958,"[0.7023346303501945, 0.6906614785992218, 0.6906614785992218]","[0.7937743190661478, 0.8015564202334631, 0.7957198443579766]",3
passive_random,119,719,2055,34.98783454987834,0.6913099870298313,0.7957198443579766,"[0.6848249027237354, 0.6906614785992218, 0.6984435797665369]","[0.7898832684824902, 0.8035019455252919, 0.7937743190661478]",3
passive_random,120,724,2055,35.23114355231144,0.6984435797665368,0.7963683527885862,"[0.6964980544747081, 0.6964980544747081, 0.7023346303501945]","[0.7976653696498055, 0.7976653696498055, 0.7937743190661478]",3
passive_random,121,729,2055,35.47445255474452,0.6919584954604409,0.795071335927367,"[0.6848249027237354, 0.6964980544747081, 0.6945525291828794]","[0.791828793774319, 0.7976653696498055, 0.7957198443579766]",3
passive_random,122,734,2055,35.71776155717762,0.6990920881971464,0.7931258106355382,"[0.7003891050583657, 0.7023346303501945, 0.6945525291828794]","[0.7898832684824902, 0.7957198443579766, 0.7937743190661478]",3
