method,round,labels,pool_size,pct,avg_acc_top1,avg_acc_topk,acc_tuple_top1,acc_tuple_topk,top_k,added_labels
active_random,94,815,2183,37.33394411360513,0.7150259067357513,0.8402417962003454,"[0.7202072538860104, 0.7124352331606217, 0.7124352331606217]","[0.844559585492228, 0.8393782383419689, 0.8367875647668394]",3,"[204, 3, 181, 151, 7, 232]"
active_random,95,821,2183,37.60879523591388,0.7202072538860104,0.8393782383419689,"[0.7202072538860104, 0.7253886010362695, 0.7150259067357513]","[0.8316062176165803, 0.8471502590673575, 0.8393782383419689]",3,"[11, 240, 5, 1, 102, 42]"
active_random,96,827,2183,37.88364635822263,0.7202072538860104,0.8393782383419689,"[0.7150259067357513, 0.727979274611399, 0.7176165803108808]","[0.8419689119170984, 0.8341968911917098, 0.8419689119170984]",3,"[145, 44, 242, 248, 158, 249]"
active_random,97,833,2183,38.15849748053138,0.7219343696027635,0.8385146804835925,"[0.7305699481865285, 0.727979274611399, 0.7072538860103627]","[0.8393782383419689, 0.8316062176165803, 0.844559585492228]",3,"[65, 89, 214, 247, 40, 118]"
active_random,98,839,2183,38.43334860284013,0.7150259067357513,0.8402417962003454,"[0.7124352331606217, 0.7176165803108808, 0.7150259067357513]","[0.8341968911917098, 0.8419689119170984, 0.844559585492228]",3,"[154, 186, 3, 231, 248, 177]"
active_random,99,845,2183,38.70819972514888,0.7219343696027635,0.8419689119170984,"[0.727979274611399, 0.7227979274611399, 0.7150259067357513]","[0.8367875647668394, 0.8471502590673575, 0.8419689119170984]",3,"[3, 118, 248, 111, 63, 249]"
active_random,100,851,2183,38.983050847457626,0.724525043177893,0.842832469775475,"[0.7227979274611399, 0.7331606217616581, 0.7176165803108808]","[0.844559585492228, 0.8419689119170984, 0.8419689119170984]",3,"[102, 21, 204, 103, 212, 117]"
passive_random,1,257,2183,11.772789738891435,0.5146804835924007,0.6545768566493955,"[0.5207253886010362, 0.5129533678756477, 0.5103626943005182]","[0.6502590673575129, 0.6632124352331606, 0.6502590673575129]",3,[]
passive_random,2,263,2183,12.047640861200183,0.5241796200345424,0.6606217616580311,"[0.5155440414507773, 0.5310880829015544, 0.5259067357512953]","[0.6606217616580311, 0.6683937823834197, 0.6528497409326425]",3,"[86, 245, 180, 75, 246, 3]"
passive_random,3,269,2183,12.322491983508932,0.5198618307426598,0.6709844559585493,"[0.5233160621761658, 0.5233160621761658, 0.5129533678756477]","[0.6735751295336787, 0.6658031088082902, 0.6735751295336787]",3,"[154, 72, 82, 187, 90, 233]"
passive_random,4,275,2183,12.597343105817682,0.5302245250431779,0.6692573402417962,"[0.5362694300518135, 0.5233160621761658, 0.5310880829015544]","[0.6735751295336787, 0.6658031088082902, 0.6683937823834197]",3,"[245, 102, 66, 102, 181, 246]"
passive_random,5,281,2183,12.872194228126432,0.5250431778929188,0.6675302245250432,"[0.5207253886010362, 0.5310880829015544, 0.5233160621761658]","[0.6683937823834197, 0.6658031088082902, 0.6683937823834197]",3,"[103, 111, 231, 5, 3, 11]"
